City Name,2023_Score_Max10000,2022_Score_Max7500,2020_Score_Max6000,2019_Score_5000,2018_Score,2017_Score,2016_Score,lat,lon
PANDARIYA,6593.857674,4690.32,4111.69,3382.059701,2733,1092.744027,1190.857143,21.5304,81.6728
BISHRAMPUR (NP),6593.857674,5757.88,4099.33,3382.059701,2904.415663,1092.744027,1190.857143,22.2327,82.2135
WARORA,6593.857674,4892.92,4092.58,3382.059701,2904.415663,1092.744027,1190.857143,20.7005,79.3733
KOTBA (NP),6593.857674,3776.07,4081.38,3382.059701,2904.415663,1092.744027,1190.857143,20.5867,81.1748
SURAJPUR (M),6593.857674,5155.67,4076.1,3382.059701,2904.415663,1092.744027,1190.857143,23.4444,82.3722
HINGOLI,6593.857674,5139.06,4071.45,3457,2792,1092.744027,1190.857143,19.6755,77.1367
MALKAPUR_K,6593.857674,4985.13,4068.08,3382.059701,2904.415663,1092.744027,1190.857143,20.4828,76.1439
Bhatgaon (NP),6593.857674,3728.456823,4059.32,3382.059701,2904.415663,1092.744027,1190.857143,21.1861,82.0494
DHAMTARI (M),6593.857674,4494.38,4058.35,3382.059701,2904.415663,1092.744027,1190.857143,20.6581,81.6023
KHOPOLI,6593.857674,4961.88,4057.95,3471,2904.415663,1092.744027,1190.857143,18.9923,73.3008
BHAVNAGAR,6593.857674,4936.87,4055.6,2921,2904.415663,1515,1190.857143,21.7642,72.1507
HATHOD,6593.857674,4927.32,4048.16,3382.059701,2904.415663,1092.744027,1190.857143,22.2955,75.5825
Kharsia  (M),6593.857674,3728.456823,4045.97,3382.059701,2904.415663,1092.744027,1190.857143,22.1643,82.2405
BHAGUR,6593.857674,4254.29,4040.74,3382.059701,2771,1092.744027,1190.857143,19.2953,73.8352
PANDATARAI (NP),6593.857674,4489.68,4040.69,3382.059701,2904.415663,1092.744027,1190.857143,22.1707,82.3867
SAGAR,6593.857674,5699.23,4039.26,3284,2922,1603,1190.857143,23.8598,78.7372
BETUL,6593.857674,5107.18,4028.89,3382.059701,2904.415663,1313,1190.857143,21.9069,77.2624
SHAHADA,6593.857674,4722.58,4024.09,3382.059701,2904.415663,1092.744027,1190.857143,20.1125,74.3478
